event_url,rank,last_name,first_name,nationality,total_time,swim_time,bike_time,run_time,athlete_url
http://triathlonranking2.perfectpace.com/event/1752,25,Silmbrod,Günther,AUT,10:38:48,01:15:14,05:18:22,03:58:27,http://triathlonranking2.perfectpace.com/athlete/170750
http://triathlonranking2.perfectpace.com/event/1752,26,Hüttlin,Thomas,SUI,10:40:11,01:08:55,05:01:38,04:24:51,http://triathlonranking2.perfectpace.com/athlete/263049
http://triathlonranking2.perfectpace.com/event/1752,27,Gott,Gerrit,AUT,10:44:10,01:19:18,05:01:18,04:18:48,http://triathlonranking2.perfectpace.com/athlete/197437
http://triathlonranking2.perfectpace.com/event/1752,28,Sitek,Simon,AUT,10:47:42,01:11:05,05:34:20,03:56:42,http://triathlonranking2.perfectpace.com/athlete/210218
http://triathlonranking2.perfectpace.com/event/1752,29,Horvath,Gergo,HUN,10:49:06,01:21:24,05:33:55,03:45:46,http://triathlonranking2.perfectpace.com/athlete/263050
http://triathlonranking2.perfectpace.com/event/1752,30,Ljubicic,Juro,CRO,10:51:32,01:22:41,05:18:26,04:04:40,http://triathlonranking2.perfectpace.com/athlete/263051
http://triathlonranking2.perfectpace.com/event/1752,31,Stára,Frantisek,CZE,10:51:34,01:22:08,05:31:00,03:53:10,http://triathlonranking2.perfectpace.com/athlete/263052
http://triathlonranking2.perfectpace.com/event/1752,32,Zwölfer,Werner,AUT,10:53:14,01:13:19,05:10:00,04:24:04,http://triathlonranking2.perfectpace.com/athlete/182995
http://triathlonranking2.perfectpace.com/event/1752,33,Morman,Dalibor,AUT,10:53:44,01:13:38,05:20:43,04:10:55,http://triathlonranking2.perfectpace.com/athlete/160872
http://triathlonranking2.perfectpace.com/event/1752,34,Frölich,André,GER,10:56:41,01:02:50,05:40:16,04:08:20,http://triathlonranking2.perfectpace.com/athlete/238586
http://triathlonranking2.perfectpace.com/event/1752,35,Groch-Fischer,Jürgen,AUT,10:59:34,01:15:14,05:21:26,04:17:27,http://triathlonranking2.perfectpace.com/athlete/248587
